frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,-0.26475418,-0.46726602,-0.21778622,-0.24398017,-0.07684348,-0.0381276,-0.05394783,0.2760636,-0.13175645,0.05682781,0.26965284,0.090473026,-0.041079856,-0.14192173,0.14035712,0.161932,-0.46581754,-0.061524055999999994,-0.28440666,0.31958064,-0.41693820000000004,-0.12910128,0.5133495,-0.34142209999999995,-0.14682737,0.6920544,-0.13611168,-0.19053395,0.67938435,0.14703077,-0.3957002,0.5189630000000001,0.22330466,-0.63668436,0.42807534,0.17962956,-0.19009553,0.7298055999999999,0.012739303,-0.33270252,0.89144635,0.046319865,-0.37026970000000003,0.74173784,0.055675898,-0.35830572,0.7926696999999999,0.08670668,-0.37591952,0.7935337,0.022825118,-0.26644063,0.83659875,0.10327393,-0.3042003,0.8397503000000001,-0.040647335,0.0014399904757738113,0.27285820245742803,-0.020641714334487915
2,-0.28462273,-0.48100862,-0.18942216,-0.24093923,-0.07930525,-0.03800951,-0.05018071,0.27576524,-0.13297711,0.05395733,0.2659906,0.09206496,-0.049725,-0.14761582,0.12877819999999998,0.13448524,-0.47871247,-0.083483025,-0.28955624,0.34955594,-0.46289378,-0.12743953,0.5256727,-0.35921577,-0.13949162,0.6896873,-0.14091656,-0.2056328,0.6744569,0.13327338,-0.4327224,0.5349371,0.18103717,-0.6751206999999999,0.45080104,0.12419959,-0.19195221,0.7245488,0.00234616,-0.3244704,0.89281106,0.021232847000000003,-0.37829120000000005,0.7474933000000001,0.018829316000000002,-0.36654317,0.79615784,0.053340964000000005,-0.37334782,0.80019045,-0.012457046999999999,-0.2741887,0.8297966,0.08623509,-0.28797328,0.84026486,-0.061324157000000004,0.001888308674097061,0.2708779275417328,-0.02045607566833496
3,-0.28317237,-0.47047412,-0.2068242,-0.24343209,-0.080711916,-0.018806785,-0.065319404,0.27685148,-0.12794995,0.06935472,0.27204812,0.08324183,-0.044879504,-0.13374797,0.15051068,0.090673715,-0.49356037,-0.056300428,-0.32626540000000004,0.33254978,-0.36801073,-0.15207928,0.5242451,-0.3424974,-0.16799518,0.69384724,-0.12701817,-0.18708506,0.6882879,0.15752976,-0.4046699,0.5501623000000001,0.24641496,-0.65392053,0.47202843,0.20530407,-0.19694893,0.73232234,0.025227787,-0.32531747,0.8999004999999999,0.07225465,-0.36559987,0.75395906,0.109072655,-0.34389159999999996,0.8073833,0.12961717,-0.37748364,0.8023781999999999,0.072256856,-0.24904458,0.84661067,0.11767597,-0.32192242,0.8368165000000001,-0.013563748,0.0020176582038402557,0.27444979548454285,-0.022354062646627426
4,-0.31459509999999996,-0.46270972,-0.19813845,-0.25252146,-0.070528224,-0.024828501,-0.060208954,0.27924040000000006,-0.12933534,0.06655117,0.2689017,0.08500210000000001,-0.054962054,-0.13316087,0.148401,0.04565445,-0.5029097,-0.058343012,-0.24536373,0.33848274,-0.40675923,-0.089638315,0.5365335,-0.34437832,-0.14517449,0.6970989000000001,-0.12828809,-0.19553943,0.6822833,0.15342762,-0.4286456,0.55315125,0.21060506,-0.67581654,0.49492299999999995,0.13720262,-0.18953332,0.73245275,0.023348479,-0.30478844,0.90932506,0.06272864,-0.35638797,0.76947784,0.10874760000000001,-0.32962143,0.82201314,0.12561008,-0.36539540000000004,0.8166521999999999,0.06958486,-0.23255938,0.85196924,0.10920569,-0.3095589,0.84159124,-0.01962198,0.0031711086630821232,0.2740710377693176,-0.022166620939970016
5,-0.37257440000000003,-0.42924726,-0.21230587,-0.26118684,-0.060025155999999996,-0.019209953000000002,-0.06402296,0.28240842,-0.12521923,0.07112701,0.26413432,0.08222411,-0.06329622,-0.13299824,0.13523163,0.014098633999999999,-0.50840116,-0.06673664,-0.24686824,0.34224474,-0.41749302,-0.09915875,0.5397123,-0.33922090000000005,-0.14498025,0.6951672,-0.11924225,-0.1833987,0.6838719,0.16359368,-0.41247624,0.5560713,0.22931008,-0.65895593,0.49000767,0.16588870000000003,-0.1829761,0.73133373,0.032497052,-0.29993390000000003,0.9064386000000001,0.07071668,-0.34904462,0.76649714,0.11779496,-0.32336214,0.8196581000000001,0.13423157,-0.35865549999999996,0.8131421999999999,0.078183904,-0.22690281,0.8509595,0.1179651,-0.30330893,0.83806527,-0.010678268999999999,0.003552027046680451,0.27327138185501104,-0.021497558802366257
6,-0.40461114,-0.42851952,-0.21499336,-0.2645324,-0.06063436,-0.028989585,-0.06456275,0.2860761,-0.1244729,0.07272589,0.25775465,0.08240719,-0.076642334,-0.14034432,0.11895658,0.0015752714000000002,-0.49132916,-0.12723679999999998,-0.2589989,0.3753728,-0.42746633,-0.108688325,0.56762105,-0.33623296,-0.14458852,0.7018955,-0.09953363,-0.17952359,0.6746588000000001,0.18154186,-0.40938717,0.5414286,0.23741879,-0.6527206999999999,0.4678205,0.1631116,-0.17979228,0.72784865,0.05422339599999999,-0.29395294,0.8993199000000001,0.10364194,-0.3376471,0.75847673,0.1537984,-0.3105948,0.8115892,0.16811962,-0.3514116,0.8055718000000001,0.11579560000000001,-0.21679652,0.84350765,0.14259766,-0.30538827,0.83165824,0.021754805,0.004081569612026215,0.27191537618637085,-0.021032854914665226
7,-0.41195047,-0.4116972,-0.22255555,-0.2754433,-0.0474782,-0.032231063,-0.060148902000000004,0.28782058,-0.12516311,0.07050577599999999,0.25587013,0.08367885,-0.08023801,-0.13655405,0.12659489,-0.035050318,-0.50618,-0.09762767,-0.24502057,0.39289227,-0.45215988,-0.098070756,0.5719149,-0.33285886,-0.13388288,0.70222974,-0.09408216,-0.18239631,0.6637801,0.18526095,-0.4130621,0.52651316,0.2271049,-0.65622836,0.45049915,0.15636693,-0.17550161,0.7251890000000001,0.060183935,-0.28253740000000005,0.9012176,0.11272657,-0.33010045,0.7617534,0.16235442,-0.30066204,0.81359726,0.17648345,-0.34324095,0.8097419,0.12542659,-0.20679823,0.84218633,0.14854583,-0.29896609999999996,0.8354267,0.030495562,0.005178436636924744,0.27184534072875977,-0.02074212953448296
8,-0.38977256,-0.41342062,-0.19357361,-0.2842058,-0.03535283,-0.014774106,-0.059958182,0.28741622,-0.12590012,0.07241838,0.25651726,0.08251987,-0.094728805,-0.12607627,0.13663287,-0.07733454,-0.5002291,-0.08162904,-0.25195974,0.38340409999999997,-0.44646683,-0.106870264,0.5637776999999999,-0.32731079999999996,-0.13902374,0.6999975,-0.09254589,-0.1817924,0.66389066,0.18721351,-0.41285878,0.52997905,0.22881223,-0.65815645,0.4543339,0.16596322,-0.17769405,0.7237088,0.061514683,-0.29020298,0.8970573000000001,0.11481972,-0.33646098,0.75503683,0.15844382,-0.30910432,0.80708635,0.17542097,-0.34908512,0.8036085999999999,0.122251675,-0.21447635,0.8389924999999999,0.15285975,-0.30090728,0.8331681999999999,0.030350342000000002,0.0062300972640514365,0.27196675539016724,-0.02169012650847435
9,-0.3267526,-0.40723562,-0.21936183,-0.2823731,-0.031106283999999998,-0.020131482,-0.05221792,0.28797290000000003,-0.12962116,0.06514828,0.25724673,0.087539166,-0.11499476,-0.11858556,0.123500235,-0.110486895,-0.50196624,-0.07548224,-0.26542988,0.3904118,-0.45665622,-0.12644634,0.57100725,-0.33115605,-0.14836678,0.7009933,-0.09387984,-0.20237193,0.6613956999999999,0.18055308,-0.43347179999999996,0.5259951999999999,0.2052315,-0.66761833,0.44300652,0.117960565,-0.1923436,0.7224596999999999,0.057102263,-0.30295107,0.89830756,0.1054303,-0.35031986,0.75817454,0.1547871,-0.32179338,0.810487,0.16939962,-0.3631533,0.8057356999999999,0.11725449,-0.22740172,0.8403185999999999,0.14356625,-0.31655276,0.8317686,0.022989575,0.006465179845690727,0.2726098299026489,-0.02104099839925766
10,-0.27825993,-0.41391054,-0.21295998,-0.28405255,-0.03293968,-0.017342204,-0.05317654,0.28775758,-0.13030589,0.06613842,0.2594326,0.08702513,-0.116396755,-0.11620715,0.12754539,-0.11270318,-0.5001536,-0.07308329,-0.26035956,0.3972785,-0.45029378,-0.11841863400000001,0.5798663000000001,-0.33169097,-0.15007179999999998,0.70510256,-0.090921,-0.19467977,0.66233563,0.18807954,-0.4204528,0.51906866,0.22982144,-0.6591949,0.44205227,0.14914133,-0.19103923,0.72458816,0.06280980000000001,-0.31236679999999994,0.8940514,0.11783308,-0.34579509999999997,0.7496401,0.16665323,-0.32105732,0.8039664000000001,0.18100270000000002,-0.36403263,0.79655945,0.13041776,-0.23063034,0.84197974,0.15188487,-0.32375149999999997,0.82775426,0.034501884,0.006480937823653221,0.2735950946807861,-0.02164037898182869
